Timestamp,"Once it is available, do you intend to get the vaccine for COVID-19?",Have you received a positive test for COVID-19 since the start of the pandemic? ,"Do you know someone personally who has tested positive for COVID-19? (family member, close friend, etc.)",Have you received a flu shot in the past 12 months?,"Where do you typically go to get your vaccines? (This can include all vaccines such as flu, TDAP, Hepatitis A, HPV, etc.)","Do you have pre-existing conditions that would make COVID-19 infection more severe? (cancer, diabetes, high blood pressure, etc.)",Do you regularly wear a mask in public? ,What is your main source for updated information pertaining to COVID-19?,What do you see as a barrier or risk for you when deciding whether to get the COVID-19 vaccine? You can choose more than one or fill out the 'Other' option. ,I am at risk for contracting COVID-19.,COVID-19 can be a serious disease. ,The COVID-19 vaccine will prevent me from contracting COVID-19. ,There are many risks associated with getting the COVID-19 vaccine.,What is your age in years?,What is your race/ethnicity? You can choose more than one or fill out the 'Other' option.,What is the highest degree or level of school you have completed?,State of Residence ,Which gender identity do you most identify?,Which most closely aligns with your political beliefs?
10/2/20 19:57,Yes,No,Yes,Yes,"Chain Pharmacies such as Walgreens, CVS, etc.",Yes,Yes,"National News Station such as Fox News, CNN, New York Times, etc.",Have a health condition or allergies that prevent vaccination,Stongly Agree,Stongly Agree,Agree,Disagree,23,White or Caucasian,Bachelor's Degree,Massachusetts,Female,Very Liberal
10/2/20 19:58,Yes,No,Yes,Yes,Primary Care Doctor,Yes,Yes,"National News Station such as Fox News, CNN, New York Times, etc.",Safety concerns with the vaccine/side effects,Stongly Agree,Stongly Agree,Agree,Disagree,63,White or Caucasian,"High school graduate, GED",Missouri,Female,Somewhat Liberal
10/2/20 20:00,Yes,No,No,Yes,Primary Care Doctor,Yes,Yes,"National News Station such as Fox News, CNN, New York Times, etc.",Safety concerns with the vaccine/side effects,Agree,Stongly Agree,Agree,Disagree,36,White or Caucasian,Bachelor's Degree,Florida,Male,Very Liberal
10/2/20 20:00,Yes,No,Yes,Yes,Primary Care Doctor,No,Yes,"Social Media (Facebook, Instagram, Twitter, etc.)",Safety concerns with the vaccine/side effects,Agree,Stongly Agree,Agree,Neutral,21,White or Caucasian,Some college/Associate's Degree,Alabama,Male,Very Liberal
10/2/20 20:02,Don't Know/Not sure,No,No,Yes,Work provided ,No,Yes,"National News Station such as Fox News, CNN, New York Times, etc.",Safety concerns with the vaccine/side effects,Agree,Stongly Agree,Neutral,Neutral,50,White or Caucasian,Graduate School,Missouri,Female,Somewhat Liberal
10/2/20 20:13,Don't Know/Not sure,No,No,No,Primary Care Doctor,Yes,Yes,Local News Station,"Safety concerns with the vaccine/side effects, Have a health condition or allergies that prevent vaccination",Agree,Stongly Agree,Neutral,Neutral,52,White or Caucasian,Bachelor's Degree,Missouri,Female,Mixed
10/2/20 20:19,Yes,No,Yes,Yes,Primary Care Doctor,No,Yes,Local News Station,"Safety concerns with the vaccine/side effects, I would want to make sure that the vaccine was fully vetted and supported by the FDA through a complete study.",Agree,Stongly Agree,Agree,Disagree,53,White or Caucasian,Bachelor's Degree,Missouri,Female,Mixed
10/2/20 20:22,Yes,No,No,Yes,Primary Care Doctor,Yes,Yes,Local News Station,Safety concerns with the vaccine/side effects,Neutral,Agree,Neutral,Neutral,69,White or Caucasian,"High school graduate, GED",Missouri,Female,Mixed
10/2/20 20:27,No,No,Yes,No,Not Applicable,No,Yes,Local News Station,"The quickest a vaccine has been developed has been 4 years, don't feel that this vaccine will be thoroughly tested.",Neutral,Stongly Agree,Neutral,Strongly agree,61,White or Caucasian,Bachelor's Degree,Ohio,Female,Somewhat Conservative
10/2/20 20:28,Don't Know/Not sure,No,Yes,Yes,Primary Care Doctor,No,Yes,"National News Station such as Fox News, CNN, New York Times, etc.","Safety concerns with the vaccine/side effects, I will get it when Dr Fauci says it has been approved.",Stongly Agree,Stongly Agree,Neutral,Neutral,74,White or Caucasian,"High school graduate, GED",Missouri,Female,Mixed
10/2/20 20:35,Don't Know/Not sure,No,Yes,Yes,Primary Care Doctor,Yes,Yes,"International News (BBC, Reuters, etc)","Safety concerns with the vaccine/side effects, Safety concerns with rushed vaccines for political reasons.",Agree,Stongly Agree,Neutral,Neutral,54,White or Caucasian,Bachelor's Degree,Arizona,Female,Mixed
10/2/20 20:37,No,No,Yes,No,Not Applicable,Don't know/Not sure,No,"Social Media (Facebook, Instagram, Twitter, etc.)","Safety concerns with the vaccine/side effects, Don't believe the vaccine will work",Agree,Agree,Strongly Disagree,Strongly agree,50,White or Caucasian,Bachelor's Degree,Missouri,Female,Somewhat Conservative
10/2/20 20:41,Yes,No,No,Yes,"Chain Pharmacies such as Walgreens, CVS, etc.",Yes,Yes,"National News Station such as Fox News, CNN, New York Times, etc.","None of these apply, I have no barriers or risks associated with getting the COVID-19 vaccine.",Neutral,Neutral,Agree,Disagree,34,White or Caucasian,Bachelor's Degree,North Carolina,Female,Very Conservative
10/2/20 20:45,Yes,No,No,Yes,Primary Care Doctor,Yes,Yes,"National News Station such as Fox News, CNN, New York Times, etc.","None of these apply, I have no barriers or risks associated with getting the COVID-19 vaccine.",Disagree,Stongly Agree,Agree,Disagree,74,White or Caucasian,Some college/Associate's Degree,Missouri,Female,Very Liberal
10/2/20 20:46,No,No,Yes,Yes,Primary Care Doctor,Yes,Yes,Local News Station,"Don't like needles and shots, Afraid of side effects",Agree,Stongly Agree,Disagree,Agree,67,White or Caucasian,"High school graduate, GED",Missouri,Female,Prefer not to answer
10/2/20 20:57,Yes,No,Yes,Yes,"Chain Pharmacies such as Walgreens, CVS, etc.",No,Yes,CDC,"Safety concerns with the vaccine/side effects, Cost of the Vaccine",Agree,Agree,Agree,Neutral,21,White or Caucasian,Some college/Associate's Degree,Alabama,Female,Very Liberal
10/2/20 21:03,Yes,No,No,No,Primary Care Doctor,Don't know/Not sure,Yes,"Social Media (Facebook, Instagram, Twitter, etc.)",Safety concerns with the vaccine/side effects,Agree,Stongly Agree,Agree,Neutral,49,White or Caucasian,Some college/Associate's Degree,Missouri,Female,Somewhat Liberal
10/2/20 21:04,Don't Know/Not sure,No,No,No,Primary Care Doctor,No,Yes,"National News Station such as Fox News, CNN, New York Times, etc.","Safety concerns with the vaccine/side effects, Concerned about getting COVID from the vaccine",Neutral,Stongly Disagree,Neutral,Neutral,61,White or Caucasian,"High school graduate, GED",Missouri,Female,Somewhat Conservative
10/2/20 21:15,Yes,No,No,Yes,Primary Care Doctor,No,Yes,"National News Station such as Fox News, CNN, New York Times, etc.","None of these apply, I have no barriers or risks associated with getting the COVID-19 vaccine.",Agree,Agree,Agree,Agree,75,White or Caucasian,"High school graduate, GED",Missouri,Male,Somewhat Conservative
10/2/20 21:17,Yes,No,No,Yes,Primary Care Doctor,No,No,"National News Station such as Fox News, CNN, New York Times, etc.","None of these apply, I have no barriers or risks associated with getting the COVID-19 vaccine.",Stongly Disagree,Stongly Agree,Strongly Agree,Strongly disagree,67,White or Caucasian,Graduate School,Georgia,Male,Very Conservative
10/2/20 21:19,Don't Know/Not sure,No,Yes,Yes,"Chain Pharmacies such as Walgreens, CVS, etc.",No,Yes,"National News Station such as Fox News, CNN, New York Times, etc.","Safety concerns with the vaccine/side effects, Cost of the Vaccine, Don't believe the vaccine will work",Neutral,Stongly Agree,Neutral,Agree,73,Prefer not to answer,"High school graduate, GED",Missouri,Female,Prefer not to answer
10/2/20 21:20,Don't Know/Not sure,No,Yes,Yes,Urgent Care,No,Yes,Local News Station,"Safety concerns with the vaccine/side effects, Concerned about getting COVID from the vaccine",Neutral,Agree,Neutral,Neutral,53,White or Caucasian,Some college/Associate's Degree,Missouri,Female,Somewhat Conservative
10/2/20 21:35,No,No,Yes,No,"Chain Pharmacies such as Walgreens, CVS, etc.",No,Yes,mayo clinic,"Safety concerns with the vaccine/side effects, lack of testing",Neutral,Stongly Agree,Disagree,Neutral,.,White or Caucasian,Bachelor's Degree,Colorado,Female,Very Liberal
10/2/20 21:35,Don't Know/Not sure,No,No,Yes,"Chain Pharmacies such as Walgreens, CVS, etc.",No,Yes,"National News Station such as Fox News, CNN, New York Times, etc.",Safety concerns with the vaccine/side effects,Neutral,Agree,Agree,Neutral,69,White or Caucasian,Some college/Associate's Degree,Tennessee,Female,Somewhat Conservative
10/2/20 21:38,No,No,Yes,Yes,Work,Yes,Yes,Local News Station,Safety concerns with the vaccine/side effects,Neutral,Agree,Neutral,Neutral,57,White or Caucasian,Bachelor's Degree,Missouri,Female,Mixed
10/2/20 21:41,No,No,Yes,No,"Chain Pharmacies such as Walgreens, CVS, etc.",Yes,Yes,I test COVID so through work.,"Safety concerns with the vaccine/side effects, Don't believe the vaccine will work",Stongly Agree,Stongly Agree,Disagree,Strongly agree,22,White or Caucasian,Bachelor's Degree,Tennessee,Female,Mixed
10/2/20 21:56,No,No,Yes,Yes,Primary Care Doctor,Yes,No,"National News Station such as Fox News, CNN, New York Times, etc.",Safety concerns with the vaccine/side effects,Stongly Disagree,Neutral,Strongly Disagree,Strongly agree,45,White or Caucasian,Some college/Associate's Degree,Missouri,Female,Somewhat Conservative
10/2/20 21:56,Don't Know/Not sure,No,Yes,Yes,Primary Care Doctor,Yes,Yes,"National News Station such as Fox News, CNN, New York Times, etc.","Safety concerns with the vaccine/side effects, Concerned about getting COVID from the vaccine, Don't believe the vaccine will work",Agree,Stongly Agree,Disagree,Agree,45,White or Caucasian,Bachelor's Degree,Missouri,Female,Somewhat Liberal
10/2/20 21:58,Don't Know/Not sure,No,Yes,No,Not Applicable,No,Yes,"Social Media (Facebook, Instagram, Twitter, etc.)",I’d like to see more testing from the vaccine’s success since it’s so new,Neutral,Stongly Agree,Neutral,Agree,32,"Black or African American, White or Caucasian",Bachelor's Degree,Texas,Female,Very Liberal
10/2/20 22:03,Yes,No,Yes,No,Primary Care Doctor,Yes,Yes,Local News Station,"None of these apply, I have no barriers or risks associated with getting the COVID-19 vaccine.",Agree,Agree,Neutral,Neutral,61,White or Caucasian,Bachelor's Degree,Illinois,Female,Prefer not to answer
10/2/20 22:03,Yes,No,No,Yes,"Walgreens for flu shot, PCP for everything else ",No,Yes,"Social Media (Facebook, Instagram, Twitter, etc.)","Safety concerns with the vaccine/side effects, None of these apply, I have no barriers or risks associated with getting the COVID-19 vaccine.",Agree,Stongly Agree,Agree,Agree,22,White or Caucasian,Bachelor's Degree,Missouri,Female,Very Liberal
10/2/20 22:07,Don't Know/Not sure,No,Yes,Yes,Work provided ,No,Yes,Newspaper,Safety concerns with the vaccine/side effects,Neutral,Stongly Disagree,Neutral,Disagree,37,White or Caucasian,Graduate School,California,Female,Somewhat Liberal
10/2/20 22:12,Don't Know/Not sure,No,Yes,Yes,"Chain Pharmacies such as Walgreens, CVS, etc.",No,Yes,Local News Station,Safety concerns with the vaccine/side effects,Agree,Stongly Disagree,Agree,Neutral,61,White or Caucasian,"High school graduate, GED",Missouri,Female,Somewhat Conservative
10/2/20 22:19,No,No,Yes,Yes,Primary Care Doctor,No,Yes,"Social Media (Facebook, Instagram, Twitter, etc.)","None of these apply, I have no barriers or risks associated with getting the COVID-19 vaccine.",Neutral,Stongly Agree,Neutral,Disagree,18,White or Caucasian,Some college/Associate's Degree,Tennessee,Female,Mixed
10/2/20 22:25,Yes,Yes,No,Yes,"Chain Pharmacies such as Walgreens, CVS, etc.",No,Yes,Radio/Podcasts,"None of these apply, I have no barriers or risks associated with getting the COVID-19 vaccine.",Agree,Stongly Agree,Agree,Disagree,24,White or Caucasian,Graduate School,Missouri,Female,Very Liberal
10/2/20 22:26,Don't Know/Not sure,No,Yes,Yes,Through my employer (hospital),No,Yes,Local research hospital ,Safety concerns with the vaccine/side effects,Stongly Agree,Stongly Agree,Neutral,.,24,White or Caucasian,Bachelor's Degree,Alabama,Female,Mixed
10/2/20 22:26,Don't Know/Not sure,No,Yes,No,Primary Care Doctor,Yes,Yes,"National News Station such as Fox News, CNN, New York Times, etc.",Don't believe the vaccine will work,Agree,Agree,Disagree,Neutral,37,White or Caucasian,Graduate School,Nebraska,Female,Somewhat Conservative
10/2/20 22:28,Don't Know/Not sure,No,Yes,No,Primary Care Doctor,No,Yes,CDC ,"Safety concerns with the vaccine/side effects, Cost of the Vaccine",Stongly Agree,Stongly Agree,Agree,Neutral,31,White or Caucasian,Some college/Associate's Degree,Texas,Female,Somewhat Liberal
10/2/20 22:28,Yes,No,Yes,Yes,Employer,No,Yes,"Academic journals, non-US national organizations, local departments of health",Safety concerns with the vaccine/side effects,Disagree,Stongly Agree,Agree,Strongly disagree,25,White or Caucasian,Graduate School,Missouri,Male,Very Liberal
10/2/20 22:29,Don't Know/Not sure,No,No,No,Primary Care Doctor,No,Yes,"Social Media (Facebook, Instagram, Twitter, etc.)","Safety concerns with the vaccine/side effects, Don't like needles and shots",Agree,Stongly Agree,Neutral,Agree,24,White or Caucasian,Bachelor's Degree,Ohio,Female,Very Liberal
10/2/20 22:31,Don't Know/Not sure,No,Yes,Yes,Primary Care Doctor,Yes,Yes,University ,Safety concerns with the vaccine/side effects,Agree,Stongly Agree,Neutral,Agree,20,White or Caucasian,Some college/Associate's Degree,Alabama,Male,Mixed
10/2/20 22:31,Yes,No,No,Yes,"Chain Pharmacies such as Walgreens, CVS, etc.",Yes,Yes,"National News Station such as Fox News, CNN, New York Times, etc.",Cost of the Vaccine,Agree,Stongly Agree,Agree,Disagree,40,White or Caucasian,Graduate School,North Carolina,Female,Very Liberal
10/2/20 22:32,Yes,No,Yes,Yes,"Chain Pharmacies such as Walgreens, CVS, etc.",Yes,Yes,"Social Media (Facebook, Instagram, Twitter, etc.)","Safety concerns with the vaccine/side effects, Have a health condition or allergies that prevent vaccination, I have an autoimmune disease and have to be mindful of timing when I get vaccinations so it won't interfere with my medication. Also, safety concerns as in would it be safe for me to go out in public to get the vaccine. ",Agree,Stongly Agree,Neutral,Neutral,22,White or Caucasian,Graduate School,New Mexico,Female,Very Liberal
10/2/20 22:33,Don't Know/Not sure,No,Yes,No,Primary Care Doctor,No,Yes,Local News Station,Safety concerns with the vaccine/side effects,Neutral,Agree,Disagree,Neutral,39,White or Caucasian,Some college/Associate's Degree,Missouri,Female,Mixed
10/2/20 22:36,Yes,No,No,No,Local Health Department,No,Yes,"National News Station such as Fox News, CNN, New York Times, etc.","None of these apply, I have no barriers or risks associated with getting the COVID-19 vaccine.",Agree,Stongly Agree,Neutral,Neutral,20,White or Caucasian,Some college/Associate's Degree,Alabama,Male,Somewhat Liberal
10/2/20 22:40,Don't Know/Not sure,No,Yes,No,"Chain Pharmacies such as Walgreens, CVS, etc.",Yes,Yes,"Social Media (Facebook, Instagram, Twitter, etc.)","Safety concerns with the vaccine/side effects, Don't like needles and shots",Agree,Agree,Neutral,Neutral,22,White or Caucasian,Some college/Associate's Degree,Alabama,Male,Somewhat Conservative
10/2/20 22:41,Yes,No,Yes,Yes,Primary Care Doctor,Yes,Yes,"National News Station such as Fox News, CNN, New York Times, etc.",Safety concerns with the vaccine/side effects,Neutral,Stongly Agree,Neutral,Neutral,61,White or Caucasian,Bachelor's Degree,Tennessee,Female,Very Liberal
10/2/20 22:46,Don't Know/Not sure,No,Yes,Yes,Campus,No,Yes,CDC and other official health/science sources,"Safety concerns with the vaccine/side effects, Concerned that this administration will rush the vaccine before it’s proven to be safe and effective",Disagree,Stongly Agree,Neutral,Disagree,23,White or Caucasian,Bachelor's Degree,Missouri,Female,Very Liberal
10/2/20 22:51,No,No,Yes,No,Primary Care Doctor,No,Yes,Social media/local news and then followed up by checking with the cdc. ,"Safety concerns with the vaccine/side effects, I just don’t want to be one of the first rounds to make sure it’s safe. ",Neutral,Stongly Agree,Neutral,Neutral,39,White or Caucasian,Some college/Associate's Degree,California,Female,Somewhat Liberal
10/2/20 22:51,Don't Know/Not sure,No,Yes,Yes,Local Health Department,Yes,Yes,"State/local health departments, federal agencies, local news ",Safety concerns with the vaccine/side effects,Agree,Stongly Agree,Agree,Neutral,33,White or Caucasian,Graduate School,Missouri,Male,Somewhat Liberal
10/2/20 22:53,Yes,No,Yes,Yes,"Chain Pharmacies such as Walgreens, CVS, etc.",No,Yes,"National News Station such as Fox News, CNN, New York Times, etc.","Safety concerns with the vaccine/side effects, Concerned about getting COVID from the vaccine, Don't like needles and shots",Agree,Stongly Agree,Agree,Neutral,25,White or Caucasian,Bachelor's Degree,Missouri,Female,Very Liberal
10/2/20 22:54,Don't Know/Not sure,No,Yes,No,Primary Care Doctor,No,Yes,Local News Station,"Safety concerns with the vaccine/side effects, Don't like needles and shots",Stongly Disagree,Agree,Neutral,Neutral,22,White or Caucasian,Some college/Associate's Degree,Missouri,Female,Somewhat Conservative
10/2/20 22:54,Yes,No,Yes,Yes,Primary Care Doctor,No,Yes,"Journals, UW dashboard, CDC app","None of these apply, I have no barriers or risks associated with getting the COVID-19 vaccine.",Stongly Agree,Stongly Agree,Neutral,Strongly disagree,24,White or Caucasian,Graduate School,California,Male,Very Liberal
10/2/20 22:57,Yes,No,Yes,Yes,Primary Care Doctor,No,Yes,"Official COVID dashboards (health departments, JHU, CDC, etc.)",Safety concerns with the vaccine/side effects,Agree,Stongly Agree,Agree,Neutral,41,White or Caucasian,Graduate School,Alabama,Female,Very Liberal
10/2/20 23:03,No,No,Yes,No,Not Applicable,No,Yes,"National News Station such as Fox News, CNN, New York Times, etc.","Safety concerns with the vaccine/side effects, Concerned about getting COVID from the vaccine, Don't believe the vaccine will work",Disagree,Stongly Disagree,Disagree,Agree,38,White or Caucasian,Some college/Associate's Degree,Illinois,Female,Prefer not to answer
10/2/20 23:10,Don't Know/Not sure,No,No,Yes,Primary Care Doctor,No,Yes,"National News Station such as Fox News, CNN, New York Times, etc.",Safety concerns with the vaccine/side effects,Agree,Stongly Agree,Disagree,Agree,31,Asian,Graduate School,Missouri,Female,Somewhat Liberal
10/2/20 23:11,Yes,No,No,Yes,"Chain Pharmacies such as Walgreens, CVS, etc.",No,Yes,CDC/WHO publications,"None of these apply, I have no barriers or risks associated with getting the COVID-19 vaccine.",Agree,Stongly Agree,Agree,Strongly disagree,25,White or Caucasian,Graduate School,Missouri,Female,Very Liberal
10/2/20 23:13,Don't Know/Not sure,Yes,Yes,Yes,Primary Care Doctor,No,Yes,"Social Media (Facebook, Instagram, Twitter, etc.)","None of these apply, I have no barriers or risks associated with getting the COVID-19 vaccine., Possible unknown side effects",Neutral,Agree,Neutral,Neutral,30,White or Caucasian,Some college/Associate's Degree,Missouri,Female,Somewhat Conservative
10/2/20 23:15,Yes,No,Yes,Yes,Primary Care Doctor,Yes,Yes,"National News Station such as Fox News, CNN, New York Times, etc.","None of these apply, I have no barriers or risks associated with getting the COVID-19 vaccine.",Agree,Agree,Neutral,Disagree,63,White or Caucasian,Graduate School,Missouri,Female,Very Liberal
10/2/20 23:18,Don't Know/Not sure,No,Yes,Yes,"Chain Pharmacies such as Walgreens, CVS, etc.",Yes,Yes,.,"Safety concerns with the vaccine/side effects, Don't believe the vaccine will work",Agree,Stongly Agree,Neutral,Agree,22,White or Caucasian,Bachelor's Degree,Alabama,Female,Somewhat Liberal
10/2/20 23:29,Yes,No,Yes,Yes,Primary Care Doctor,Yes,Yes,Local News Station,Safety concerns with the vaccine/side effects,Neutral,Agree,Agree,Agree,61,White or Caucasian,Graduate School,Ohio,Male,Somewhat Conservative
10/2/20 23:30,No,No,Yes,No,Primary Care Doctor,Don't know/Not sure,Yes,Newspaper,Safety concerns with the vaccine/side effects,Stongly Agree,Stongly Agree,Strongly Disagree,Strongly agree,22,White or Caucasian,Bachelor's Degree,Tennessee,Female,Prefer not to answer
10/2/20 23:31,Don't Know/Not sure,No,No,Yes,Primary Care Doctor,No,Yes,"National News Station such as Fox News, CNN, New York Times, etc.","Safety concerns with the vaccine/side effects, In general I would just need more information about when the vaccone was released, by wjom, and what research has been underwent before release",Agree,Stongly Agree,Neutral,Neutral,36,White or Caucasian,Graduate School,Colorado,Female,Very Liberal
10/2/20 23:34,Yes,No,No,Yes,"Chain Pharmacies such as Walgreens, CVS, etc.",No,Yes,Cdc,Safety concerns with the vaccine/side effects,Agree,Stongly Agree,Agree,Agree,28,White or Caucasian,Graduate School,Washington D.C,Female,Very Liberal
10/2/20 23:36,Yes,No,Yes,Yes,Local Health Department,No,Yes,Public health orgs,Safety concerns with the vaccine/side effects,Agree,Stongly Agree,Neutral,Neutral,30,White or Caucasian,Graduate School,Washington,Male,Mixed
10/2/20 23:42,No,No,No,No,Not Applicable,No,Yes,"National News Station such as Fox News, CNN, New York Times, etc.","Safety concerns with the vaccine/side effects, Cost of the Vaccine, Concerned about getting COVID from the vaccine, Don't like needles and shots, Don't believe the vaccine will work",Neutral,Disagree,Neutral,Agree,25,White or Caucasian,Graduate School,Texas,Female,Mixed
10/2/20 23:45,No,No,Yes,No,"Chain Pharmacies such as Walgreens, CVS, etc.",Yes,Yes,Local News Station,Safety concerns with the vaccine/side effects,Agree,Agree,Neutral,Neutral,50,White or Caucasian,Bachelor's Degree,Missouri,Female,Somewhat Liberal
10/2/20 23:47,No,No,No,No,Local Health Department,No,Yes,"Social Media (Facebook, Instagram, Twitter, etc.)","Safety concerns with the vaccine/side effects, Don't believe the vaccine will work",Agree,Disagree,Disagree,Neutral,.,White or Caucasian,"High school graduate, GED",Tennessee,Female,Prefer not to answer
10/2/20 23:52,Yes,No,Yes,Yes,Primary Care Doctor,No,Yes,"National News Station such as Fox News, CNN, New York Times, etc.","None of these apply, I have no barriers or risks associated with getting the COVID-19 vaccine.",Disagree,Stongly Agree,Disagree,Disagree,23,White or Caucasian,Graduate School,Missouri,Female,Very Liberal
10/2/20 23:54,No,No,No,No,Primary Care Doctor,No,Yes,"National News Station such as Fox News, CNN, New York Times, etc.",Safety concerns with the vaccine/side effects,Neutral,Stongly Agree,Disagree,Agree,55,White or Caucasian,Graduate School,California,Female,Somewhat Conservative
10/2/20 23:55,No,No,Yes,No,Not Applicable,No,Yes,"National News Station such as Fox News, CNN, New York Times, etc.",Safety concerns with the vaccine/side effects,Disagree,Stongly Agree,Neutral,Neutral,60,White or Caucasian,Graduate School,Kentucky,Male,Somewhat Liberal
10/2/20 23:58,Yes,No,Yes,Yes,Primary Care Doctor,No,Yes,"CDC, NIH, university research updates",Safety concerns with the vaccine/side effects,Neutral,Stongly Agree,Neutral,Neutral,29,White or Caucasian,Graduate School,Missouri,Female,Somewhat Liberal
10/2/20 23:59,Don't Know/Not sure,No,No,No,Primary Care Doctor,No,Yes,Radio/Podcasts,Safety concerns with the vaccine/side effects,Agree,Stongly Agree,Agree,Agree,29,White or Caucasian,Graduate School,Missouri,Female,Very Liberal
10/2/20 23:59,No,No,Yes,Yes,Primary Care Doctor,Yes,Yes,"National News Station such as Fox News, CNN, New York Times, etc.",I will get the vaccine after it’s been out for a year,Agree,Stongly Agree,Neutral,Neutral,62,Asian American ,Bachelor's Degree,Arizona,Female,Somewhat Liberal
10/3/20 0:01,Don't Know/Not sure,No,Yes,No,Primary Care Doctor,No,Yes,"Social Media (Facebook, Instagram, Twitter, etc.)","Safety concerns with the vaccine/side effects, Concerned about getting COVID from the vaccine, Don't believe the vaccine will work",Agree,Neutral,Disagree,Agree,21,White or Caucasian,Some college/Associate's Degree,Missouri,Female,Very Liberal
10/3/20 0:10,Yes,No,Yes,Yes,"Chain Pharmacies such as Walgreens, CVS, etc.",Yes,Yes,"Journals when I can, otherwise medical online publications","Safety concerns with the vaccine/side effects, I want to see the long term effects of the vaccine before I get it",Agree,Stongly Agree,Agree,Neutral,21,White or Caucasian,Some college/Associate's Degree,Alabama,Female,Somewhat Liberal
10/3/20 0:12,No,No,Yes,No,Primary Care Doctor,Yes,No,Local News Station,"None of these apply, I have no barriers or risks associated with getting the COVID-19 vaccine.",Agree,Agree,Neutral,Agree,54,White or Caucasian,"High school graduate, GED",Missouri,Female,Somewhat Conservative
10/3/20 0:34,No,No,Yes,No,Primary Care Doctor,No,Yes,Local News Station,Safety concerns with the vaccine/side effects,Agree,Stongly Agree,Strongly Disagree,Strongly agree,60,White or Caucasian,"High school graduate, GED",California,Female,Mixed
10/3/20 0:42,Don't Know/Not sure,No,Yes,Yes,employee health,No,Yes,medical journals,"Safety concerns with the vaccine/side effects, politicization of vaccine and perversion of usual vaccine development process",Agree,Stongly Agree,Agree,Agree,37,White or Caucasian,Graduate School,Minnesota,Male,Very Liberal
10/3/20 0:50,Don't Know/Not sure,No,Yes,Yes,Local Health Department,No,Yes,"National News Station such as Fox News, CNN, New York Times, etc.",Cost of the Vaccine,Neutral,Agree,Neutral,Disagree,31,White or Caucasian,Graduate School,Kansas,Female,Very Liberal
10/3/20 1:03,Don't Know/Not sure,No,Yes,Yes,"Chain Pharmacies such as Walgreens, CVS, etc.",No,Yes,"Google, cdc, who and peer reviewed articles ",Safety concerns with the vaccine/side effects,Agree,Stongly Agree,Neutral,Agree,28,Black or African American,Graduate School,Arkansas,Female,Prefer not to answer
10/3/20 1:08,No,No,Yes,Yes,work,Yes,No,"National News Station such as Fox News, CNN, New York Times, etc.","Safety concerns with the vaccine/side effects, immune response triggering auto immune response like later phase of severe covid",Agree,Agree,Disagree,Strongly agree,53,"White or Caucasian, Native American or Alaska Native",Graduate School,Missouri,Male,Very Conservative
10/3/20 1:24,Yes,No,Yes,No,"Chain Pharmacies such as Walgreens, CVS, etc.",No,Yes,"Social Media (Facebook, Instagram, Twitter, etc.)","Safety concerns with the vaccine/side effects, Cost of the Vaccine, Concerned about getting COVID from the vaccine",Agree,Stongly Agree,Agree,Neutral,22,White or Caucasian,Some college/Associate's Degree,.,Female,Somewhat Liberal
10/3/20 1:46,No,Yes,Yes,Yes,Not Applicable,No,Yes,"Social Media (Facebook, Instagram, Twitter, etc.)","Safety concerns with the vaccine/side effects, Don't believe the vaccine will work",Agree,Stongly Agree,Neutral,Neutral,23,White or Caucasian,Bachelor's Degree,Kentucky,Female,Somewhat Liberal
10/3/20 2:53,Yes,No,No,Yes,Primary Care Doctor,No,Yes,"National News Station such as Fox News, CNN, New York Times, etc.",Safety concerns with the vaccine/side effects,Neutral,Stongly Agree,Neutral,Disagree,34,White or Caucasian,Bachelor's Degree,International,Female,Somewhat Liberal
10/3/20 3:49,No,No,No,No,Not Applicable,No,No,None,Don't believe the vaccine will work,Stongly Disagree,Stongly Disagree,Strongly Disagree,Strongly agree,53,White or Caucasian,Some college/Associate's Degree,Texas,Female,Somewhat Conservative
10/3/20 5:21,No,No,Yes,No,Primary Care Doctor,No,Yes,Local News Station,Safety concerns with the vaccine/side effects,Agree,Agree,Neutral,Agree,43,Prefer not to answer,Bachelor's Degree,North Carolina,Male,Mixed
10/3/20 5:32,No,No,No,Yes,Costco pharmacy,No,Yes,Local News Station,Safety concerns with the vaccine/side effects,Disagree,Neutral,Neutral,Neutral,61,White or Caucasian,Some college/Associate's Degree,Nevada,Female,Mixed
10/3/20 5:44,No,No,Yes,Yes,"Chain Pharmacies such as Walgreens, CVS, etc.",No,No,"National News Station such as Fox News, CNN, New York Times, etc.",Safety concerns with the vaccine/side effects,Agree,Agree,Neutral,Agree,34,"White or Caucasian, Hispanic or Latinx",Graduate School,Louisiana,Female,Mixed
10/3/20 5:48,No,No,No,No,Primary Care Doctor,No,No,"Social Media (Facebook, Instagram, Twitter, etc.)","Safety concerns with the vaccine/side effects, Cost of the Vaccine, Don't believe the vaccine will work",Disagree,Agree,Neutral,Agree,42,White or Caucasian,"High school graduate, GED",Missouri,Female,Prefer not to answer
10/3/20 6:27,Yes,No,Yes,No,Primary Care Doctor,No,Yes,Local News Station,"Safety concerns with the vaccine/side effects, Cost of the Vaccine, Concerned about getting COVID from the vaccine, Don't like needles and shots, Have a health condition or allergies that prevent vaccination",Neutral,Neutral,Neutral,Neutral,37,White or Caucasian,Some college/Associate's Degree,Missouri,Female,Mixed
